Run,Timestamp,Metric
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1182μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1076μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1065μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1068μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1068μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1398μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1252μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1085μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1077μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1071μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1080μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1065μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1082μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1070μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1077μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1089μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1079μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1088μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1084μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1073μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1084μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1080μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1072μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1068μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1074μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1090μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1073μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1079μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1074μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1074μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1074μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1077μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1079μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1082μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1088μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1079μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1080μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1349μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1358μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1154μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1084μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1080μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1086μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1089μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1099μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1092μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1087μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1090μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1086μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1082μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1091μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1087μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1067μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1066μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1080μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1079μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1072μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1080μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1075μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1073μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1088μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1084μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1086μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1077μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1093μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1139μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1078μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1070μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1066μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1098μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1095μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1097μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1083μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1085μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1081μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1077μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1075μs
1,2025-06-02T18:40:21,wasm_rpc_host_container  | RTT = 1086μs
Total measurements: 100
Average RTT: 1093.00 μs
